ID,PIT_Tag,scale_factor,Sex,Maturity,Site,Control-Treatment?,Recap?,Notes,horizontal_eye_diameter,head_depth_through_eye,postorbital_length,head_length,maximum_body_depth,minimum_caudal_peduncle_depth,predorsal_length,postdorsal_length,pect-pelvic_distance,pelvic-anal_distance,pectoral-anal_distance,preanal_length,fork_length,fork_measured,dorsal_fin_base_length,anterior_dorsal_height,posterior_dorsal_height,anal_fin_base_length,anal_fin_height,pectoral_fin_length,pelvic_fin_length,adipose_fin_base,adipose_height,dorsal_end_length,dorsal_to_adipose,dorsal_reach_adipose,papillae,problems
21,3DD.003E270D5C,0.105662,F,MA,Angel ,Control,Y,,11.73,28.53,31.07,52.2,79.28,29.01,111.72,138.63,127.54,90.12,217.66,268,370.28,356,89.67,32.95,64.36,34.79,35.56,63.14,62.4,8,NA,68.72,90.1,no,,no
22,3DD.003E270D8E,0.102896,F,MA,Angel ,Control,Y,,11.76,29.85,30.56,50.73,77.29,28.51,105.99,142.01,127.39,98.06,225.45,271.34,369.52,364,95.09,30.07,66.02,34.63,28.38,62.46,62.86,11.55,NA,62.2,87.5,no,,no
23,3DD.003E270D47,0.188144,F,MA,Angel ,Control,Y,,12.14,24.65,31.62,48.92,70.1,25.23,93.53,138.85,104.06,92.19,196.25,246.09,342.76,343,89.17,29.11,56.38,33.55,30.48,54.61,53.67,7.91,NA,51.08,83.06,no,,no
24,3DD.003E270D59,0.105118,M,MA,Angel ,Control,Y,,9.47,26.28,30.7,47.2,73.14,26.64,98.15,139.74,113.45,90,203.45,250.86,326.31,350,99.18,30,74.59,39.23,34.21,64.54,69.95,9.68,NA,71.88,85.03,no,,no
25,3DD.003E270D7B,0.100825,F,MA,Angel ,Control,Y,,10.66,24.9,30.45,47.02,72.2,27.67,101.95,148.62,110.2,90.65,200.85,245.92,357.74,347,87.68,25.82,61,41.66,34.67,55.5,58.23,11.43,NA,66.49,93.96,no,,no
26,3DD.003E270D3F,0.103807,M,MA,Angel ,Control,Y,,13.09,31.07,34.21,57.86,78.56,28.86,106.16,135.68,109.21,95,204.21,261.41,362.78,350,97.64,27.57,108.18,32.01,33.31,62.85,68.13,11.35,NA,103,82.07,yes,,no
27,3DD.003E270D85,0.101781,F,MA,Angel ,Control,Y,,13.13,28.91,33.69,55.7,75.75,28.73,106.19,144.06,111.47,96.43,207.9,263.46,369.48,355,93.27,33.29,79.24,35.93,31.38,61.58,60.1,9.92,NA,79.53,86.94,no,,no
28,3DD.003E270D39,0.104979,F,MA,Angel ,Control,Y,,10.81,27.09,36.43,55.43,79.47,29.98,110.55,137.63,115.16,95.96,211.12,266.87,374.8,364,97.2,31.2,75.61,38.6,32.4,62.58,63.08,8.5,NA,74.86,86.34,no,,no
29,3DD.003E270D72,0.104026,F,MA,Angel ,Control,Y,,11.66,31.52,35.48,56.49,72.93,26.79,116.2,142.41,118.28,105.28,223.56,276,386.41,370,95.8,34.43,66.48,37.55,30.56,64.01,66.86,8.46,NA,66.5,85.56,no,,no
30,3DD.003E270DAE,0.093421,F,MA,Belle,Treatment,N,,10.28,22.89,26.25,41.2,67.31,24.85,90.81,130.42,97.16,79.71,176.87,218.98,317.73,307,74.95,25.9,53.06,32.09,24.46,53.18,52.49,6.58,5.9,55.92,87.09,no,,no
